Data set #1:
Car #1
Car #2

Data set #2:
Car #1
Car #3
Car #2

Data set #3:
Car #4
Car #5
Car #2
Car #1
Car #3
Car #6

Data set #4:
Car #1

Data set #5:
Car #1

Data set #6:
Car #1

Data set #7:
Car #1

Data set #8:
Car #1
Car #3
Car #5
Car #9
Car #10
Car #11
Car #16
Car #2
Car #17
Car #18
Car #6
Car #7
Car #79
Car #80
Car #81
Car #8
Car #19
Car #20
Car #21
Car #22
Car #4
Car #23
Car #34
Car #35
Car #36
Car #24
Car #25
Car #26
Car #12
Car #13
Car #27
Car #28
Car #29
Car #30
Car #31
Car #32
Car #14
Car #15
Car #33
Car #37
Car #42
Car #43
Car #44
Car #96
Car #97
Car #98
Car #45
Car #46
Car #47
Car #48
Car #49
Car #53
Car #54
Car #38
Car #39
Car #40
Car #41
Car #55
Car #56
Car #57
Car #58
Car #59
Car #50
Car #51
Car #52
Car #60
Car #61
Car #65
Car #66
Car #67
Car #68
Car #69
Car #70
Car #71
Car #62
Car #63
Car #64
Car #75
Car #76
Car #77
Car #78
Car #82
Car #94
Car #95
Car #83
Car #72
Car #73
Car #74
Car #84
Car #85
Car #86
Car #87
Car #88
Car #89
Car #100
Car #90
Car #91
Car #92
Car #93
Car #99

Data set #9:
Car #4
Car #57
Car #79
Car #34
Car #10
Car #65
Car #85
Car #46
Car #9
Car #51
Car #90
Car #30
Car #16
Car #64
Car #100
Car #49
Car #1
Car #73
Car #78
Car #47
Car #18
Car #54
Car #84
Car #26
Car #8
Car #74
Car #89
Car #37
Car #17
Car #66
Car #96
Car #29
Car #15
Car #58
Car #99
Car #44
Car #7
Car #56
Car #88
Car #31
Car #25
Car #72
Car #76
Car #36
Car #3
Car #59
Car #86
Car #27
Car #14
Car #52
Car #83
Car #50
Car #11
Car #63
Car #91
Car #43
Car #24
Car #71
Car #80
Car #33
Car #22
Car #67
Car #97
Car #48
Car #2
Car #61
Car #98
Car #35
Car #5
Car #53
Car #87
Car #45
Car #21
Car #69
Car #93
Car #38
Car #12
Car #70
Car #95
Car #41
Car #23
Car #60
Car #81
Car #28
Car #19
Car #75
Car #94
Car #40
Car #6
Car #68
Car #92
Car #32
Car #13
Car #62
Car #82
Car #39
Car #20
Car #55
Car #77
Car #42

