Spoof #1:
1 1

Spoof #2:
2 1
1 3
1 4
3 7
1 6
1 7
2 4

Spoof #3: NOT POSSIBLE

Spoof #4:
4 3
5 25
7 1
5 14
5 25
8 12
9 2
5 25
5 17
5 5
3 2
7 4
6 25
5 25
4 3
2 14
3 11
8 8
8 10
5 25
7 1
8 12
5 25
5 14
5 5
7 7
2 15
2 11
2 6
4 9
2 16
3 2
7 4
5 17
5 25
9 2
4 3
5 25
6 25
8 8
3 11
6 10
2 11
2 6
1 9

Spoof #5:
2 21
2 22
5 4
5 6
1 6
5 8
1 24
1 9
1 16
1 12
1 4
2 10
2 29
1 18
1 19
3 34
5 16
5 17
5 20
5 26
1 8
2 5
5 35
1 3
2 24
2 25
2 20
2 27
2 28
4 29
1 34
1 35
2 26
2 13

Spoof #6: NOT POSSIBLE

Spoof #7:
1 4
11 609
1 36
1 18
1 39
1 131
14 18
1 44
1 55
1 285
1 145
1 107
1 1
2 424
1 29
2 894
5 665
2 238
13 794
1 15
1 161
8 307
13 797
1 70
13 799
1 33
1 173
13 812
1 282
2 240
1 97
14 12
1 197
1 50
1 110
1 152
2 452
1 240
1 146
3 409
2 591
2 621
13 840
3 209
14 5
13 822
13 823
13 831
3 213
13 832

Spoof #8:
1 4
11 609
1 36
1 18
1 39
1 131
14 11
1 44
1 55
1 285
1 145
1 107
1 1
2 424
1 29
2 894
5 665
2 238
13 794
1 15
1 161
8 307
13 797
1 70
13 799
1 33
1 173
13 812
1 282
2 240
1 97
14 36
1 197
1 50
1 110
1 152
2 452
1 240
1 146
3 409
2 591
2 621
13 840
3 209
14 49
13 822
13 823
13 831
3 213
13 832

Spoof #9:
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
1 16
1 17
1 18
1 19
1 20
1 21
1 22
1 23
1 24
1 25
1 26
1 27
1 28
1 29
1 30
1 31
1 32
1 33
1 34
1 35
1 36
1 37
1 38
1 39
1 40
1 41
1 42
1 43
1 44
1 45
1 46
1 47
1 48
1 49
1 50

Spoof #10:
1 1
1 2
68 543
1 3
60 214
1 4
67 1000
1 5
77 768
1 6
1 7
68 543
1 8
1 9
1 10
100 679
1 11
1 12
60 214
1 13
1 14
68 543
68 543
1 15
1 16
77 768
1 17
1 18
100 679
1 19
1 20
60 214
1 21
1 22
68 543
1 23
77 768
1 24
1 25
68 543
1 26
1 27
1 28
1 29
100 679
1 30
60 214
1 31
77 768
1 32

Spoof #11:
1 483
19 390
9 433
11 717
6 255
7 530
3 155
2 134
2 834
7 32
4 681
4 862
2 282
10 549
5 385
13 286
6 788
1 222
2 450
7 652
8 240
2 113
2 888
4 950
4 200
2 651
2 103
1 497
2 412
4 232
2 488
1 990
1 935
6 880
8 393
16 552
3 602
4 965
6 354
1 768
4 495
1 28
3 740
3 256
11 287
3 226
3 663
2 539
2 92
5 715

Spoof #12:
3 431
2 110
8 43
21 726
2 82
7 731
5 405
6 317
12 753
3 89
1 834
1 343
8 433
3 397
7 796
2 870
3 280
1 188
2 709
1 30
11 66
14 923
1 549
6 500
3 414
2 229
20 851
3 94
6 600
3 710
1 907
6 982
1 455
8 256
12 570
14 806
4 458
1 335
4 517
8 271
1 298
1 171
1 812
3 603
1 545
13 206
2 833
6 446
3 178
3 685

Spoof #13: NOT POSSIBLE

Spoof #14:
8 144
1 53
3 590
7 986
3 10
8 637
3 93
6 71
1 574
2 58
6 76
8 175
3 619
1 524
4 45
1 90
1 715
5 71
3 741
7 60
3 656
3 33
1 624
1 394
1 243
2 618
3 694
3 907
4 510
5 462
3 459
3 261
12 444
3 652
2 585
4 144
6 832
2 530
2 221
1 143
6 877
2 412
9 858
9 17
1 871
16 226
3 377
6 563
4 468
9 277

Spoof #15:
9 868
2 383
9 892
11 618
1 203
1 700
1 617
4 988
3 859
9 203
1 49
1 246
2 298
6 535
1 546
2 481
8 551
2 3
1 816
1 269
10 805
1 660
2 54
3 867
3 9
5 954
10 829
5 33
13 164
7 575
2 157
13 564
7 725
13 343
1 221
1 523
2 164
4 134
1 42
2 851
1 790
7 158
9 7
2 153
3 454
2 71
8 300
2 723
2 838
6 330

Spoof #16: NOT POSSIBLE

Spoof #17: NOT POSSIBLE

Spoof #18: NOT POSSIBLE

Spoof #19:
2 194
3 777
7 11
1 322
1 49
3 375
2 518
2 927
5 110
1 469
8 65
3 499
9 418
3 472
4 256
3 64
1 138
5 609
3 350
1 22
1 612
3 567
5 286
6 307
1 623
5 66
11 250
2 325
4 456
6 111
6 371
1 101
5 826
2 196
1 174
1 54
1 416
7 348
1 139
7 975
13 979
3 4
12 427
13 109
1 261
8 934
10 959
4 187
3 111
3 451

Spoof #20:
2 592
8 428
4 218
3 343
7 431
2 226
8 955
13 949
4 594
5 498
4 641
4 37
7 189
11 118
2 428
1 991
1 413
2 692
13 230
2 101
5 911
4 34
6 839
7 94
3 468
4 826
1 965
8 666
1 251
4 347
1 482
1 902
1 963
3 121
2 826
1 657
1 725
2 952
7 124
3 77
2 253
1 644
8 230
5 219
1 648
2 116
1 335
3 690
7 316
1 529

