Taijitu #1: yin 157.08, yang 157.08

Taijitu #2: yin 188.50, yang 263.89

Taijitu #3: yin 15707.95, yang 15707.95

Taijitu #4: yin 31101.74, yang 314.16

Taijitu #5: yin 314.16, yang 31101.74

Taijitu #6: yin 16022.11, yang 15393.79

Taijitu #7: yin 15393.79, yang 16022.11

Taijitu #8: yin 6.28, yang 6.28

Taijitu #9: yin 18.85, yang 9.42

Taijitu #10: yin 37.70, yang 12.57

Taijitu #11: yin 62.83, yang 15.71

Taijitu #12: yin 94.25, yang 18.85

Taijitu #13: yin 131.95, yang 21.99

Taijitu #14: yin 175.93, yang 25.13

Taijitu #15: yin 226.19, yang 28.27

Taijitu #16: yin 282.74, yang 31.42

Taijitu #17: yin 1193.80, yang 62.83

Taijitu #18: yin 2733.18, yang 94.25

Taijitu #19: yin 4900.88, yang 125.66

Taijitu #20: yin 7696.90, yang 157.08

Taijitu #21: yin 11121.23, yang 188.50

Taijitu #22: yin 15173.88, yang 219.91

Taijitu #23: yin 19854.85, yang 251.33

Taijitu #24: yin 25164.14, yang 282.74

Taijitu #25: yin 30479.71, yang 311.02

Taijitu #26: yin 311.02, yang 30479.71

Taijitu #27: yin 15707.95, yang 15707.95

Taijitu #28: yin 12723.44, yang 12723.44

Taijitu #29: yin 10053.09, yang 10053.09

Taijitu #30: yin 7696.90, yang 7696.90

Taijitu #31: yin 5654.86, yang 5654.86

Taijitu #32: yin 3926.99, yang 3926.99

Taijitu #33: yin 2513.27, yang 2513.27

Taijitu #34: yin 1413.72, yang 1413.72

Taijitu #35: yin 628.32, yang 628.32

Taijitu #36: yin 9.42, yang 18.85

Taijitu #37: yin 31.42, yang 47.12

Taijitu #38: yin 43.98, yang 109.96

Taijitu #39: yin 138.23, yang 241.90

Taijitu #40: yin 81.68, yang 449.25

Taijitu #41: yin 213.63, yang 694.29

Taijitu #42: yin 119.38, yang 1014.73

Taijitu #43: yin 289.03, yang 1372.87

Taijitu #44: yin 546.64, yang 2095.44

Taijitu #45: yin 194.78, yang 2824.29

Taijitu #46: yin 2726.90, yang 292.17

Taijitu #47: yin 28949.75, yang 609.47

Taijitu #48: yin 23561.93, yang 7853.98

Taijitu #49: yin 11780.96, yang 5890.48

Taijitu #50: yin 3926.99, yang 3926.99

